timestamp,interaction_step,episodic_reward,episode_intervention,intervention_rate,policy_freq_hz,policy_freq_90p_hz
0.0,77,1.229517,,,74.30310489203994,126.88406500128495
6.0,131,1.160532,,,155.3058755402145,137.78818899203884
12.0,183,1.188502,,,153.1985572559657,133.699389783371
18.0,229,1.135382,,,153.88061281015985,132.7760986027716
25.0,284,1.188709,,,152.2270406416261,134.19591245140305
32.0,341,1.332088,,,153.6917515038793,135.64778845544106
35.0,369,0.036669,,,154.44770815113915,137.57231230701305
42.0,423,1.212666,,,154.0338065184393,136.14971545417913
47.0,461,1.167342,,,152.8240486655496,132.54231900635952
58.0,560,0.309366,,,150.4236038083383,132.70427261681394
69.0,659,0.249085,,,155.33304617953354,133.00789670537534
80.0,758,0.302555,,,154.0260071544963,134.05420176106725
91.0,857,0.294378,,,150.3607987102239,131.017015390528
95.0,883,1.117885,,,147.34077026069332,129.98155951703885
104.0,967,1.252842,,,149.35498754956797,131.70796571893672
109.0,1011,1.140745,,,155.81181854520347,141.15111785509964
116.0,1070,1.211643,,,151.08275917624564,132.7387169776198
122.0,1113,1.160413,,,149.28268316788098,130.3598053169702
130.0,1185,1.303618,,,153.56935132479487,136.0124503614815
139.0,1260,1.182954,,,151.84068874947397,132.32773780185707
144.0,1307,1.183484,,,150.17237903962712,131.41869264804103
151.0,1360,1.168288,,,150.1328796372018,128.50669387461622
157.0,1415,1.188456,,,151.14540197849777,130.44078288558944
164.0,1468,1.151991,,,147.54566814712186,127.18680218230858
170.0,1523,1.194174,,,152.04352622475963,133.14207740268031
176.0,1569,1.145466,,,153.10394585723228,134.54446674413708
183.0,1630,1.214705,,,152.98761973527343,129.540508160032
189.0,1676,1.159646,,,153.24179690009998,133.47546690914214
197.0,1743,1.213060,,,149.2934286289093,131.18015279969748
204.0,1810,1.183542,,,147.81042591913615,126.55356203566363
212.0,1877,1.210443,,,146.38252022119963,129.47633348694
217.0,1916,1.158322,,,140.25185118387603,111.9403127086833
224.0,1974,1.199683,,,148.0507073366046,128.8902393157694
